FID,geom,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,building,building:levels,contact:phone,contact:website,name,opening_hours,phone,roof:shape,shop,website,wheelchair,osm_id,osm_type,editlink,tutoriallink,toilets:wheelchair,check_date:opening_hours,roof:levels,clothes,operator,url,addr:country,image,wikimedia_commons,source,branch,disused:name,payment:cash,payment:credit_cards,payment:gift_card,payment:girocard,short_name,second_hand,building:levels:underground,email,fax,addr:place,roof:colour,surveillance,source:addr,source:geometry,check_date,ref:vatin,indoor,level,room,building:part,wheelchair:description,organic,payment:coins,payment:debit_cards,payment:electronic_purses,payment:maestro,payment:mastercard,payment:notes,payment:telephone_cards,payment:visa,old_name,last_checked,ref:shop:num,lastcheck,roof:orientation,karlsruhe:das_fest,reoccurence,temporary_amenity,watch:slowrider,addr:suburb,last_check,not:brand:wikidata,alt_name,name:de,closed:amenity,craft,old_name2,amenity,contact:facebook,contact:instagram,cuisine,man_made,update,wheelchair:step_height,office,note,contact:email,addr:housename,designation,entrance,internet_access,internet_access:fee,wikidata,wikipedia,dog,layer,old_name1,ref,changing_table,changing_table:location,outdoor_seating,fixme,description,opening_hours:signed,closed:name,closed:shop,start_date,mobile,name:en,currency:eur,stroller,closed:website,air_conditioning,payment:american_express,payment:contactless,abandoned:shop,addr:floor,payment:cards,contact:mobile,reservation
OSM_MRN_shop_clothes_4326_Point.1,POINT (8.366447554545456 49.42308582727273),Mutterstadt,31,67112,An der Fohlenweide,Adler,Q358196,de:Adler Modemärkte,commercial,1,+49 6234 94570,https://www.adlermode-unternehmen.com/filialfinder/mutterstadt,Adler,Mo-Fr 09:00-19:30; Sa 09:00-18:00,+49623494570,flat,clothes,https://www.adlermode-unternehmen.com/filialfinder/mutterstadt/,yes,33139307,way,https://www.openstreetmap.org/way/33139307,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.2,POINT (8.394765025 49.426668875000004),,,,,KiK,Q883965,en:KiK,yes,,,,KiK,,,,clothes,,yes,35314251,way,https://www.openstreetmap.org/way/35314251,https://learnosm.org/de/beginner/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.3,POINT (8.3164458 49.43377796666667),Dannstadt-Schauernheim,2,67125,Riedstraße,KiK,Q883965,en:KiK,retail,1,,,KiK,Mo-Sa 09:00-20:00,,,clothes,,yes,40201102,way,https://www.openstreetmap.org/way/40201102,https://learnosm.org/de/beginner/,,2021-04-02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.4,POINT (8.53784688 49.3273649),Hockenheim,2,68766,Altriper Straße,,,,yes,,,,engelbert strauss workwearstore,Mo-Sa 08:00-20:00,,,clothes,http://www.engelbert-strauss.de,yes,71167167,way,https://www.openstreetmap.org/way/71167167,https://learnosm.org/de/beginner/,,,,workwear,engelbert strauss GmbH & Co. KG,http://www.engelbert-strauss.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.5,POINT (9.337057307692307 49.44000450769231),Seckach,25,74743,Waidachshofer Straße,Mustang,Q221562,,yes,,,,Mustang Outlet,,,,clothes,,yes,93573503,way,https://www.openstreetmap.org/way/93573503,https://learnosm.org/de/beginner/,,,,,,,DE,https://commons.wikimedia.org/wiki/File:MUSTANG_Outlet_Seckach_2022.jpg,File:MUSTANG_Outlet_Seckach_2022.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.6,POINT (8.455002825000001 49.4865936125),Mannheim,5,68159,Schleusenweg,,,,yes,,,,Luxury Loft,,,,clothes,https://www.luxuryloft.de/,,105171939,way,https://www.openstreetmap.org/way/105171939,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.7,POINT (8.455824799999998 49.4881113),Mannheim,45,68159,Parkring,,,,yes,,,,Cascadeur Modevertrieb e.K,,,,clothes,,,114808712,way,https://www.openstreetmap.org/way/114808712,https://learnosm.org/de/beginner/,,,,,,,DE,,,HiRes aerial imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.8,POINT (8.6208607 49.682645050000005),Bensheim,12,64625,Rodensteinstraße,,,,yes,,,,schleinkofer,"Mo-Fr 09:00-12:45, 14:00-18:00; Sa 09:00-13:00; Sa[1] 09:00-16:00",+49 6251 3444,,clothes,,,117230497,way,https://www.openstreetmap.org/way/117230497,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.9,POINT (8.5595979 49.66306618),Lorsch,2-12,64653,Marie-Curie-Straße,KiK,Q883965,de:KiK,retail,,,,KiK,,,,clothes,,,120716145,way,https://www.openstreetmap.org/way/120716145,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.10,POINT (8.62200208125 49.68139978124999),Bensheim,,64625,Bahnhofstraße,C&A,Q701338,en:C&A,yes,,,,C&A,Mo-Fr 09:00-19:00; Sa 09:00-18:00,,,clothes,,yes,123416306,way,https://www.openstreetmap.org/way/123416306,https://learnosm.org/de/beginner/,,,,,,,DE,,,,Bensheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
